scenario,rep,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_ops_s,drop_rate
baseline_pi_1000,1,0.060,0.133,0.324,443,0.000
baseline_pi_1000,2,0.060,0.121,0.297,460,0.000
baseline_pi_1000,3,0.060,0.122,0.295,452,0.000
affinity_pi_1000,1,0.039,0.128,0.818,461,0.000
affinity_pi_1000,2,0.052,0.123,0.717,441,0.000
affinity_pi_1000,3,0.038,0.139,0.875,448,0.000
queue_cap_8_pi_1000,1,0.061,0.131,0.303,430,0.000
queue_cap_8_pi_1000,2,0.063,0.158,0.332,415,0.000
queue_cap_8_pi_1000,3,0.061,0.123,0.275,435,0.000
baseline_pi_0,1,0.002,0.035,1.053,333795,0.649
baseline_pi_0,2,0.001,0.031,0.231,379901,0.647
baseline_pi_0,3,0.002,0.036,0.771,337300,0.651
affinity_pi_0,1,0.002,0.027,0.088,326045,0.735
affinity_pi_0,2,0.002,0.032,0.219,313305,0.722
affinity_pi_0,3,0.002,0.033,1.045,306732,0.701
queue_cap_8_pi_0,1,0.001,0.004,0.023,343824,0.724
queue_cap_8_pi_0,2,0.001,0.003,0.024,382110,0.601
queue_cap_8_pi_0,3,0.001,0.003,0.025,365716,0.659
